min_sup,total_time,peak_memory,db_size,fis_count
0.1,0.10010576248168945,13873348,10336,15
0.08,0.1022787094116211,13872244,10336,25
0.06,0.12111425399780273,13876960,10336,39
0.04,0.14995265007019043,14061545,10336,68
0.03,0.20490550994873047,14133520,10336,107
0.02,0.33016037940979004,14327337,10336,184
0.01,0.7649993896484375,14753989,10336,370
0.009,0.915407657623291,14892723,10336,417
0.008,1.0957860946655273,15134024,10336,466
0.007,1.2980077266693115,15304102,10336,533
0.006,1.6231486797332764,15333470,10336,620
0.005,2.0531299114227295,15433243,10336,704
0.004,2.6599926948547363,15626046,10336,838
