min_sup,total_time,peak_memory,db_size,fis_count
0.1,0.04901242256164551,7805859,9488,6
0.08,0.05001068115234375,7803484,9488,7
0.06,0.05751538276672363,7804263,9488,15
0.04,0.06301403045654297,7805214,9488,24
0.02,0.16504263877868652,8601309,9488,80
0.008,0.7422049045562744,12439986,9488,243
0.006,1.2533411979675293,16139112,9488,338
0.004,2.4242453575134277,20996800,9488,515
0.002,8.001698017120361,40623449,9488,953
0.0015,11.818079471588135,49982493,9488,1115
0.0013,15.070245504379272,57222939,9488,1223
0.0012,17.20339059829712,61313283,9488,1292
0.0011,21.03694200515747,67511109,9488,1401
